team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados,Total_Pases_Intentados,Total_Distancia_Pases
Augsburg,GER-Bundesliga,2025,11.8,8.8,149,398,60.7,9.1,77.4,3863,4992,68708
Bayern Munich,GER-Bundesliga,2025,26.4,21.8,253,616,61.9,54.5,88.4,7090,8016,111820
Dortmund,GER-Bundesliga,2025,17.9,13.3,296,577,72.7,54.5,83.2,5193,6243,91134
Frankfurt,GER-Bundesliga,2025,16.6,14.2,210,307,56.3,18.2,82.3,5117,6221,90192
Freiburg,GER-Bundesliga,2025,17.4,16.6,20.6,149,56.5,0,78,3897,4993,71942
Mönchengladbach,GER-Bundesliga,2025,13.1,10.8,238,459,69.1,36.4,82.1,4281,5213,75346
Hamburg,GER-Bundesliga,2025,12.9,10.2,23.1,192,71.9,9.1,80.3,4094,5098,76898
Heidenheim,GER-Bundesliga,2025,12.7,10.5,23.1,321,63.7,0,75.8,3297,4352,67825
Hoffenheim,GER-Bundesliga,2025,16.2,14.4,30.5,431,67.4,9.1,77.2,4187,5422,73437
1.FC Köln,GER-Bundesliga,2025,16.3,12.6,29.3,342,71.4,18.2,79.2,3953,4990,75512
Leverkusen,GER-Bundesliga,2025,19.8,17.5,289,493,72.9,18.2,87.5,6279,7179,103153
Mainz,GER-Bundesliga,2025,12.1,9.3,21.5,367,65.4,0,72.5,3605,4973,67676
Leipzig,GER-Bundesliga,2025,20.2,14.1,34.3,377,67.5,45.5,81.8,4505,5510,78976
St. Pauli,GER-Bundesliga,2025,10.4,8.8,15.7,164,65,9.1,78.5,4780,6092,80681
Stuttgart,GER-Bundesliga,2025,14.4,12.5,269,509,75,36.4,82.9,5338,6442,90982
Union Berlin,GER-Bundesliga,2025,12,11.2,97,259,74.5,27.3,68.5,2487,3632,47432
Werder Bremen,GER-Bundesliga,2025,12,9.9,21.9,432,73,27.3,80.8,4576,5666,83977
Wolfsburg,GER-Bundesliga,2025,12.5,10.5,25.5,355,63.6,0,78.8,3837,4870,70959
Augsburg,GER-Bundesliga,2024,33.7,25.1,58.2,450,70.5,32.4,77.5,11577,14936,213228
Bayern Munich,GER-Bundesliga,2024,74,59.7,133.7,2138,81.7,47.1,88.4,22755,25733,376161
VfL Bochum,GER-Bundesliga,2024,39.3,30,69.4,1090,57.5,14.7,72.2,10281,14230,202499
Dortmund,GER-Bundesliga,2024,56.5,47.4,103.9,1563,66.4,20.6,84,17077,20321,295202
Frankfurt,GER-Bundesliga,2024,47.4,38.3,106.6,1347,72.4,26.5,81.3,13925,17138,233650
Freiburg,GER-Bundesliga,2024,41.1,30.5,71.7,1129,66,32.4,78.3,12892,16460,230139
Mönchengladbach,GER-Bundesliga,2024,46.6,37.7,84.3,1112,68.4,20.6,80.8,14148,17507,245327
Heidenheim,GER-Bundesliga,2024,40.3,36.3,64.9,974,73.8,26.5,75.8,11127,14684,215269
Hoffenheim,GER-Bundesliga,2024,36.3,28.6,73,1216,62.4,11.8,77.7,12827,16506,225491
Holstein Kiel,GER-Bundesliga,2024,35.9,26.7,62.6,875,62.1,5.9,75.5,10537,13961,201828
Leverkusen,GER-Bundesliga,2024,52,41.9,93.9,1692,70.9,26.5,84.8,18301,21589,299589
Mainz,GER-Bundesliga,2024,47,37.5,84.6,1286,74,26.5,75.9,12478,16434,222290
Leipzig,GER-Bundesliga,2024,47.4,35.6,79,1353,70.9,41.2,80.7,14698,18207,247957
St. Pauli,GER-Bundesliga,2024,33.7,26.3,60,1073,71.4,26.5,76.8,11751,15300,208523
Stuttgart,GER-Bundesliga,2024,57.7,45.3,103,1493,70.6,20.6,83.5,16513,19767,272424
Union Berlin,GER-Bundesliga,2024,47.7,37.3,58.2,1049,65.5,23.5,72.7,9960,13705,178823
Werder Bremen,GER-Bundesliga,2024,47.4,37.4,83.1,1351,65.4,29.4,79.8,13999,17550,250040
Wolfsburg,GER-Bundesliga,2024,47.5,43.4,76.4,1205,67.5,17.6,76.8,11590,15088,219100
Augsburg,GER-Bundesliga,2023,40.7,27.7,68.4,1137,71,8.8,73.9,10545,14262,199672
Bayern Munich,GER-Bundesliga,2023,81.3,65.9,147.3,2050,78.4,32.4,87.1,19987,22946,340799
VfL Bochum,GER-Bundesliga,2023,41.8,33.5,71.8,1151,65.6,8.8,68.9,9786,14203,185281
Darmstadt 98,GER-Bundesliga,2023,32.3,22.8,52.8,873,60.5,8.8,77,11807,15336,223927
Dortmund,GER-Bundesliga,2023,58.8,45.6,104.4,1452,73.8,29.4,84.1,17191,20445,300426
Frankfurt,GER-Bundesliga,2023,46.2,41.4,78.5,1305,71.9,20.6,79.8,15017,18809,260025
Freiburg,GER-Bundesliga,2023,45.4,32.4,74.8,1208,70.5,29.4,77,12337,16023,223388
Mönchengladbach,GER-Bundesliga,2023,41.8,35.5,77.4,1317,70.5,11.8,79.9,13544,16946,232267
Heidenheim,GER-Bundesliga,2023,39.4,27.5,64.5,1099,72.4,17.6,71.6,10264,14339,206040
Hoffenheim,GER-Bundesliga,2023,53.6,39,88.9,1269,69.7,5.9,79,13457,17038,240505
1.FC Köln,GER-Bundesliga,2023,39.3,34.7,61.9,1086,66.1,11.8,75.9,11704,15411,209861
Leverkusen,GER-Bundesliga,2023,73.6,55.2,122.8,1997,77.1,47.1,87.2,21192,24301,322890
Mainz,GER-Bundesliga,2023,40.7,32,72.7,1169,71.3,23.5,72.6,10974,15120,201446
Leipzig,GER-Bundesliga,2023,60.7,47.7,107.9,1541,70.1,29.4,83,16254,19590,282017
Stuttgart,GER-Bundesliga,2023,64.6,53.3,117.9,1718,72.1,35.3,85.5,19201,22456,312129
Union Berlin,GER-Bundesliga,2023,40.1,35.3,60.3,1146,68.5,20.6,74.4,11004,14784,204399
Werder Bremen,GER-Bundesliga,2023,42,35.6,77.6,1344,71.1,20.6,78.1,12821,16418,237961
Wolfsburg,GER-Bundesliga,2023,39.2,27.5,78.6,1235,64.2,17.6,78.8,13092,16624,232194
Augsburg,GER-Bundesliga,2022,30.9,24.3,331,847,69.2,17.6,66.1,8422,12742,169408
Bayern Munich,GER-Bundesliga,2022,56.6,48,127.7,2041,72.9,32.4,85.4,19404,22716,335478
VfL Bochum,GER-Bundesliga,2022,37.7,28.4,350,1022,68,14.7,68,9209,13549,185905
Dortmund,GER-Bundesliga,2022,66.5,51.9,118.4,1628,71.5,35.3,82.7,16445,19889,290786
Frankfurt,GER-Bundesliga,2022,47.4,36.2,83.2,1372,63,17.6,77.5,13930,17975,240605
Freiburg,GER-Bundesliga,2022,41.6,28.5,70.1,1039,74,38.2,75,11653,15533,224503
Mönchengladbach,GER-Bundesliga,2022,41.5,39.9,59.2,1153,72.6,26.5,82.3,15516,18854,267610
Hertha BSC,GER-Bundesliga,2022,39.4,25.3,41.3,914,62.4,8.8,69.3,8876,12800,165190
Hoffenheim,GER-Bundesliga,2022,41.1,32.4,73.4,1175,65.8,14.7,75.5,11754,15564,218184
1.FC Köln,GER-Bundesliga,2022,47.9,34.7,79.9,1247,61.2,17.6,74.8,12242,16367,229690
Leverkusen,GER-Bundesliga,2022,46,38.9,75.3,1243,71.2,26.5,80.6,14683,18206,247352
Mainz,GER-Bundesliga,2022,42.4,30,72.4,1159,66.7,20.6,69.5,10075,14492,186572
Leipzig,GER-Bundesliga,2022,39.6,28.7,62.7,993,67.9,29.4,82.4,16911,20529,297606
FC Schalke 04,GER-Bundesliga,2022,43.2,37.8,64.6,934,65.8,20.6,69.1,9234,13360,182759
Stuttgart,GER-Bundesliga,2022,47.6,38.1,81.7,1278,65.1,5.9,79.2,13460,16987,253792
Union Berlin,GER-Bundesliga,2022,37.9,25.9,58.4,1012,78.5,38.2,71.5,10312,14418,197596
Werder Bremen,GER-Bundesliga,2022,36.4,29,65.4,1140,66.3,11.8,75.2,12443,16554,236998
Wolfsburg,GER-Bundesliga,2022,45.8,39.2,85.5,1306,70.1,35.3,77.9,12571,16129,245765
Arm. Bielefeld,GER-Bundesliga,2021,26.3,17.2,405,887,74.4,20.6,69.4,9382,13511,182069
Augsburg,GER-Bundesliga,2021,23.9,24.7,441,895,67.3,26.5,70.4,9181,13035,181255
Bayern Munich,GER-Bundesliga,2021,85.1,66.7,833,2164,68.8,32.4,84.5,20087,23780,342875
VfL Bochum,GER-Bundesliga,2021,35.9,26.7,467,926,68.8,20.6,70.4,9624,13679,200296
Dortmund,GER-Bundesliga,2021,55.9,45,678,1468,66.2,20.6,82.7,17410,21052,292376
Frankfurt,GER-Bundesliga,2021,41.6,32,609,1255,72.7,14.7,74.2,12628,17023,229563
Freiburg,GER-Bundesliga,2021,45.7,34.5,802,1229,72.7,29.4,74.4,11641,15652,219063
Mönchengladbach,GER-Bundesliga,2021,35.7,37.8,527,1291,68.6,14.7,80.9,14537,17978,251602
Greuther Fürth,GER-Bundesliga,2021,26.2,18.8,413,976,63.4,17.6,72.9,10180,13971,187432
Hertha BSC,GER-Bundesliga,2021,30.9,25,462,975,59.6,17.6,73.3,10314,14077,185733
Hoffenheim,GER-Bundesliga,2021,58.3,46.8,879,1550,64.2,8.8,79,14323,18141,256560
1.FC Köln,GER-Bundesliga,2021,47.9,38.6,709,1341,68.2,11.8,74.7,12636,16910,245192
Leverkusen,GER-Bundesliga,2021,57.8,46.2,709,1341,72.2,23.5,80.4,14735,18338,258289
Mainz,GER-Bundesliga,2021,47.2,36.4,444,1178,68,29.4,71.8,10773,15000,190321
Leipzig,GER-Bundesliga,2021,58.4,49.2,767,1442,70.4,29.4,81.8,16163,19771,265026
Stuttgart,GER-Bundesliga,2021,43.3,31.4,571,1269,66.3,11.8,79.3,13753,17353,244827
Union Berlin,GER-Bundesliga,2021,43.3,31.5,429,1123,65.6,23.5,72,10673,14818,204003
Wolfsburg,GER-Bundesliga,2021,44.9,33.8,502,1220,67.9,32.4,76.6,12596,16439,238876
Arm. Bielefeld,GER-Bundesliga,2020,31.9,24.3,451,954,70.3,26.5,72.5,10582,14604,214163
Augsburg,GER-Bundesliga,2020,28.7,25.1,452,1007,74,20.6,72.4,10257,14168,193960
Bayern Munich,GER-Bundesliga,2020,74.5,58,727,1968,66.8,17.6,83.3,18358,22039,327421
Dortmund,GER-Bundesliga,2020,57.5,44.8,682,1494,65.6,20.6,84,18812,22396,330898
Frankfurt,GER-Bundesliga,2020,57.6,46.5,737,1485,72.1,23.5,77.3,14241,18424,253275
Freiburg,GER-Bundesliga,2020,44,33.5,655,1198,70,26.5,76.3,12177,15960,235666
Mönchengladbach,GER-Bundesliga,2020,46.1,37.9,647,1412,67.8,14.7,80.2,15207,18955,258868
Hertha BSC,GER-Bundesliga,2020,40.8,31.3,569,1083,68.4,14.7,77.7,12566,16169,248502
Hoffenheim,GER-Bundesliga,2020,43.1,35.8,648,1341,68.2,17.6,79.1,14269,18046,259701
1.FC Köln,GER-Bundesliga,2020,35,27.6,557,1095,70.2,26.5,75.3,11954,15870,227260
Leverkusen,GER-Bundesliga,2020,48.7,39.1,652,1334,67.3,20.6,82.5,17887,21683,323019
Mainz,GER-Bundesliga,2020,39.5,32.7,499,1159,75,29.4,69.2,9531,13776,176200
Leipzig,GER-Bundesliga,2020,57.5,44.2,688,1400,75.2,38.2,81.6,17500,21450,292079
FC Schalke 04,GER-Bundesliga,2020,28.9,23.3,447,933,59.4,11.8,75.4,11084,14706,202831
Stuttgart,GER-Bundesliga,2020,44.5,36.8,617,1416,69.1,14.7,79.4,14115,17768,245018
Union Berlin,GER-Bundesliga,2020,40.5,32.1,509,1018,68.6,20.6,74.3,11859,15951,222470
Werder Bremen,GER-Bundesliga,2020,35.7,26.1,525,1150,71,29.4,74.9,11648,15559,211793
Wolfsburg,GER-Bundesliga,2020,45.4,36.2,521,1157,78.5,41.2,76.2,13133,17236,251433
