team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados ,Total_Pases_Intentados,Total_Distancia_Pases
Angers SCO,FRA-Ligue 1,2025,11.9,8.7,204,332,80.3,30.8,80.2,4368,5445,75557
AJ Auxerre,FRA-Ligue 1,2025,13.9,8.3,175,387,70.3,23.1,78.3,4229,5403,76529
Stade Brestois,FRA-Ligue 1,2025,20.8,12.8,147,384,64.4,23.1,77.7,4324,5564,87475
Le Havre AC,FRA-Ligue 1,2025,16.1,11.7,204,441,67.9,30.8,78.8,4510,5723,82734
Lens,FRA-Ligue 1,2025,24.7,17,189,479,80.4,30.8,81.4,5043,6192,89993
Lille,FRA-Ligue 1,2025,26.4,18.7,289,675,61,23.1,82.7,5826,7048,104557
FC Lorient,FRA-Ligue 1,2025,16.1,10.8,255,446,55.8,7.7,82.1,4859,5921,85627
Lyon,FRA-Ligue 1,2025,20.3,14.3,199,457,63.4,53.8,83.3,5421,6507,95047
Marseille,FRA-Ligue 1,2025,25.7,18.8,222,599,77.6,38.5,88.1,7131,8095,116964
FC Metz,FRA-Ligue 1,2025,16.6,11.7,215,364,65.8,21.4,83.3,5624,6751,103104
Monaco,FRA-Ligue 1,2025,27.7,18.2,215,561,61.1,7.7,82.8,5829,7044,98680
FC Nantes,FRA-Ligue 1,2025,10.3,6.7,180,340,73.8,15.4,78.1,4134,5291,79118
Nice,FRA-Ligue 1,2025,15.1,11.9,200,424,74.3,15.4,81.3,4697,5776,76991
Paris FC,FRA-Ligue 1,2025,17.8,13,210,521,60.4,15.4,84.2,6030,7163,108938
PSG,FRA-Ligue 1,2025,23.9,17.3,340,794,66.7,53.8,90.8,9443,10397,156581
Stade Rennais,FRA-Ligue 1,2025,21.8,16.8,225,552,72.2,28.6,82.5,5813,7050,100932
R. Strasbourg,FRA-Ligue 1,2025,23.1,18,206,514,68.6,46.2,85.1,5845,6870,97892
Toulouse,FRA-Ligue 1,2025,19.4,10.7,204,443,69,30.8,78,4049,5190,74457
Angers SCO,FRA-Ligue 1,2024,36,23.5,502,953,74.2,20.6,78.8,11082,14057,195284
AJ Auxerre,FRA-Ligue 1,2024,41,32,484,1084,74,29.4,77.7,11002,14162,201495
Stade Brestois,FRA-Ligue 1,2024,45.4,29.4,470,1096,63.8,29.4,79.1,12678,16021,235901
Le Havre AC,FRA-Ligue 1,2024,41.3,24.3,538,1051,62.3,11.8,78.8,11125,14115,205190
Lens,FRA-Ligue 1,2024,51.8,36.2,570,1451,78.2,38.2,81.6,14837,18173,244876
Lille,FRA-Ligue 1,2024,54.7,35.1,669,1616,74.6,32.4,85,16765,19728,293593
Lyon,FRA-Ligue 1,2024,60.3,44.4,709,1615,74.1,29.4,84.3,16061,19063,263677
Marseille,FRA-Ligue 1,2024,63.8,44.6,664,1714,67.4,14.7,87.9,20427,23240,323783
Monaco,FRA-Ligue 1,2024,72.8,55.3,670,1638,70.3,32.4,81.3,14561,17916,245412
Montpellier,FRA-Ligue 1,2024,33.5,23,529,1039,63.4,2.9,79.3,11442,14420,210740
FC Nantes,FRA-Ligue 1,2024,39.1,27.8,502,1053,69.6,17.6,78.8,10999,13956,198112
Nice,FRA-Ligue 1,2024,61.6,42.9,701,1320,75.8,23.5,81.5,13129,16103,221429
PSG,FRA-Ligue 1,2024,88.9,70.8,936,2123,68.9,20.6,89.8,23156,25781,384671
Stade Reims,FRA-Ligue 1,2024,37.4,26.5,586,1156,76,20.6,79.8,11657,14602,203427
Stade Rennais,FRA-Ligue 1,2024,48.6,29.6,663,1440,65.9,32.4,82.3,13914,16913,244981
Saint-Étienne,FRA-Ligue 1,2024,36.4,24.6,529,1262,69.4,14.7,81.5,13001,15954,218182
R. Strasbourg,FRA-Ligue 1,2024,49.3,38.5,563,1204,78.7,29.4,84,14667,17462,252607
Toulouse,FRA-Ligue 1,2024,49.1,34.7,543,1384,61.1,29.4,78.5,11674,14867,203673
Stade Brestois,FRA-Ligue 1,2023,48.3,34.4,590,1402,75.9,44.1,79.6,14111,17733,274556
Clermont Foot,FRA-Ligue 1,2023,36,23.1,537,1247,75,14.7,79.8,13390,16784,238625
Le Havre AC,FRA-Ligue 1,2023,37.3,25.3,457,1199,72.8,20.6,77.6,11739,15121,206687
Lens,FRA-Ligue 1,2023,54.1,37.2,609,1624,77.5,41.2,81.3,14709,18083,249644
Lille,FRA-Ligue 1,2023,48.6,34.8,650,1468,75.8,44.1,84.3,16278,19319,279186
FC Lorient,FRA-Ligue 1,2023,37.1,27.1,632,1293,72,11.8,81.5,13284,16298,233137
Lyon,FRA-Ligue 1,2023,49.8,36.3,683,1600,69.8,29.4,82.4,14823,17984,257980
Marseille,FRA-Ligue 1,2023,54.9,40.3,635,1613,70.8,20.6,81.8,14716,18000,259765
FC Metz,FRA-Ligue 1,2023,34.2,23.2,458,910,72.3,17.6,73.6,8816,11986,177167
Monaco,FRA-Ligue 1,2023,55,37.7,614,1726,75.5,35.3,80.8,14825,18346,260568
Montpellier,FRA-Ligue 1,2023,46,31.1,553,1174,74.3,29.4,76.6,11198,14618,209508
FC Nantes,FRA-Ligue 1,2023,37.6,25.5,569,1243,70.5,23.5,79.2,12180,15384,219808
Nice,FRA-Ligue 1,2023,49.9,34.6,661,1245,77.1,50,84.4,15511,18379,255169
PSG,FRA-Ligue 1,2023,68.8,51.6,845,1915,80.3,35.3,88.3,21536,24396,366597
Stade Reims,FRA-Ligue 1,2023,44.5,33.3,625,1425,70.1,23.5,79.4,12995,16365,243795
Stade Rennais,FRA-Ligue 1,2023,53.1,31.8,606,1639,70.7,20.6,82.4,14481,17580,266518
R. Strasbourg,FRA-Ligue 1,2023,41.9,31.7,548,1152,63.2,14.7,80,12021,15031,225581
Toulouse,FRA-Ligue 1,2023,40.3,26.4,549,1408,69.8,17.6,79.8,13014,16304,231736
AC Ajaccio,FRA-Ligue 1,2022,36.1,22.8,487,1169,59.6,15.8,73.4,11216,15286,206467
Angers SCO,FRA-Ligue 1,2022,40.9,28,632,1393,63.5,10.5,80.8,14103,17463,252709
AJ Auxerre,FRA-Ligue 1,2022,42.8,27.3,531,1284,67.4,18.4,77.5,12386,15989,240572
Stade Brestois,FRA-Ligue 1,2022,43.4,29.5,592,1311,73.7,23.7,75.9,12486,16452,242407
Clermont Foot,FRA-Ligue 1,2022,47.5,27.7,532,1304,75,26.3,79.1,14212,17961,256952
Lens,FRA-Ligue 1,2022,66.7,47.4,738,1829,79.8,39.5,84,17809,21203,307973
Lille,FRA-Ligue 1,2022,68.7,46.4,798,1982,67.2,26.3,84.4,19266,22826,325045
FC Lorient,FRA-Ligue 1,2022,44.5,29.4,753,1329,72,21.1,82,14837,18087,248618
Lyon,FRA-Ligue 1,2022,61.1,45.1,709,1883,76.8,21.1,83.5,18956,22698,326617
Marseille,FRA-Ligue 1,2022,65.3,47,759,1919,75.4,26.3,81.3,16817,20689,300757
Monaco,FRA-Ligue 1,2022,62.1,42.2,719,1820,72.8,23.7,78.4,14414,18378,263795
Montpellier,FRA-Ligue 1,2022,52.2,34.3,556,1250,72.3,28.9,76.6,12420,16221,223908
FC Nantes,FRA-Ligue 1,2022,42.8,31.8,705,1565,75.1,28.9,77.4,13283,17169,249004
Nice,FRA-Ligue 1,2022,57.2,39.3,774,1534,76.9,28.9,83.4,17325,20784,302310
PSG,FRA-Ligue 1,2022,78.2,56.8,810,2029,76.3,34.2,89.5,23694,26476,370887
Stade Reims,FRA-Ligue 1,2022,61.5,43.4,712,1717,74.7,36.8,77.8,13670,17565,255023
Stade Rennais,FRA-Ligue 1,2022,61.4,45.4,774,1922,71.4,34.2,83.1,17618,21193,329357
R. Strasbourg,FRA-Ligue 1,2022,48.5,32.1,610,1351,71.8,15.8,77.2,13337,17277,243280
Toulouse,FRA-Ligue 1,2022,52.5,35.8,648,1737,70.4,23.7,80,15392,19236,275031
Troyes,FRA-Ligue 1,2022,39.1,27.9,638,1324,67.5,2.6,78.7,12751,16193,226331
Angers SCO,FRA-Ligue 1,2021,46.5,28.4,659,1349,67.7,21.1,81.4,15307,18797,281097
G. Bordeaux,FRA-Ligue 1,2021,44.9,33.9,609,1271,56.7,5.3,78,13552,17385,253745
Stade Brestois,FRA-Ligue 1,2021,43.4,28.7,666,1349,68.8,18.4,76.8,12684,16506,242103
Clermont Foot,FRA-Ligue 1,2021,44.4,32.6,617,1370,61.2,21.1,80.3,15713,19560,268742
Lens,FRA-Ligue 1,2021,50.2,34.9,763,1692,69.7,21.1,82.1,16573,20178,283832
Lille,FRA-Ligue 1,2021,50.5,33.7,725,1487,72.2,26.3,79.7,15086,18926,265491
FC Lorient,FRA-Ligue 1,2021,41.3,29.7,569,1258,60.8,28.9,78.2,13156,16818,241458
Lyon,FRA-Ligue 1,2021,66.9,48.3,781,1756,74.6,23.7,84.6,19787,23388,340268
Marseille,FRA-Ligue 1,2021,58.2,41.1,762,1866,69.6,39.5,86.7,21253,24524,361998
FC Metz,FRA-Ligue 1,2021,29.2,21.5,572,1015,64,21.1,76.9,12069,15688,222449
Monaco,FRA-Ligue 1,2021,59.4,44.1,750,1871,77.3,28.9,79.3,16300,20559,293011
Montpellier,FRA-Ligue 1,2021,42.7,28.6,604,1282,74,26.3,78.4,13951,17804,246694
FC Nantes,FRA-Ligue 1,2021,45.5,34.7,607,1330,71.6,21.1,76.3,12580,16481,232016
Nice,FRA-Ligue 1,2021,55.6,39,732,1474,78.1,36.8,81.5,16159,19832,281750
PSG,FRA-Ligue 1,2021,76.7,55.9,877,2055,76.8,34.2,89.4,23831,26660,379833
Stade Reims,FRA-Ligue 1,2021,37.7,26,614,1185,75.8,28.9,76.5,12097,15811,222517
Stade Rennais,FRA-Ligue 1,2021,62.8,47.1,676,1737,67,36.8,82.8,17605,21263,330949
Saint-Étienne,FRA-Ligue 1,2021,38.3,26.2,685,1400,63.5,10.5,77.6,13880,17876,248217
R. Strasbourg,FRA-Ligue 1,2021,55.6,39.6,573,1589,70.2,36.8,78.1,14576,18653,269517
Troyes,FRA-Ligue 1,2021,39.2,27,598,1216,73,23.7,77.8,13093,16828,232760
Angers SCO,FRA-Ligue 1,2020,43.5,26.4,614,1435,63.3,23.7,79.1,14883,18822,260279
G. Bordeaux,FRA-Ligue 1,2020,41.6,31.4,644,1303,68.6,36.8,81.4,15862,19490,283184
Stade Brestois,FRA-Ligue 1,2020,43.4,36,685,1438,68.3,18.4,79.5,15437,19407,292474
Dijon,FRA-Ligue 1,2020,33.7,22.6,527,1203,65.3,15.8,77.9,13948,17901,255832
Lens,FRA-Ligue 1,2020,56.4,37.8,743,1567,69.9,21.1,79.5,15078,18957,276447
Lille,FRA-Ligue 1,2020,48.5,34.4,713,1660,79.4,55.3,81.7,17886,21892,305333
FC Lorient,FRA-Ligue 1,2020,48.6,30.8,572,1169,65.3,13.2,77.1,13171,17085,232514
Lyon,FRA-Ligue 1,2020,66.9,48.3,804,1991,71.6,28.9,82.6,17683,21396,304026
Marseille,FRA-Ligue 1,2020,47,36.5,606,1499,66.7,21.1,80.3,16481,20532,280703
FC Metz,FRA-Ligue 1,2020,44.1,28.3,744,1221,76,21.1,77.7,13167,16956,242610
Monaco,FRA-Ligue 1,2020,68.7,46.7,757,1750,64.1,39.5,80.7,17738,21991,318971
Montpellier,FRA-Ligue 1,2020,51.9,33.8,619,1315,74.6,13.2,76.5,12720,16620,250354
FC Nantes,FRA-Ligue 1,2020,49,29.4,656,1350,73.2,13.2,74.5,12326,16537,217118
Nice,FRA-Ligue 1,2020,47.9,29.9,784,1531,73.9,23.7,83.9,18110,21589,309198
Nîmes Olympique,FRA-Ligue 1,2020,43.3,29.9,520,1200,66.8,21.1,76,12696,16714,239437
PSG,FRA-Ligue 1,2020,80.1,55.6,909,2089,79.4,50,87.8,22941,26137,354458
Stade Reims,FRA-Ligue 1,2020,32.7,21.7,698,1246,73.2,26.3,78.8,13535,17170,258466
Stade Rennais,FRA-Ligue 1,2020,47.8,35.3,741,1883,71.8,26.3,83.7,20011,23914,351486
Saint-Étienne,FRA-Ligue 1,2020,48.7,31.6,615,1229,63.6,31.6,77,13609,17666,244243
R. Strasbourg,FRA-Ligue 1,2020,52.8,32.1,538,1301,65.1,26.3,76.4,13120,17175,263920
